RTCid,Parent,Sprint,SP
1003727,354871,14.4,1
1003726,354871,14.3,1
1003724,354871,14.2,2
1003723,354871,14.1,3
1003583,354680,14.3,1
1003582,354680,14.1,2
1003581,354680,14.1,3
1003480,1002381,14.3,2
1003372,384136,14.2,3
1003263,342054,14.3,2
1003137,354871,14.5,1
1003135,354871,14.4,1
1003133,354871,14.3,1
1003131,354871,14.2,1
1003128,354871,14.1,1
1002892,353256,14.5,2
1002890,353256,14.5,2
1002886,342054,14.5,5
1002885,342054,14.5,5
1002884,342054,14.5,5
1002883,342054,14.5,2
1002548,396437,14.3,3
1002416,1002381,14.3,1
1002415,1002381,14.4,2
1002413,1002381,14.5,2
1002401,1002036,14.5,2
1002350,1002345,14.4,8
1002348,1002345,14.3,3
1002127,297335,14.5,2
1002094,1002089,14.2,3
1002091,1002089,14.3,8
1002041,1002036,14.3,1
1002040,1002036,14.4,1
1002038,1002036,14.2,1
1002037,1002036,14.5,1
1001945,395174,14.4,2
1001941,395174,14.2,2
1001935,395174,14.1,2
1001926,297335,14.5,3
1001924,297335,14.2,2
1001922,297335,14.2,3
1001921,297335,14.1,5
1001920,297335,14.5,5
1001675,372921,14.5,3
1001674,372921,14.3,3
1001673,372921,14.1,3
1001664,372921,14.5,1
1001663,372921,14.4,1
1001661,372921,14.3,1
1001659,372921,14.2,1
1001658,372921,14.1,1
1001649,1001636,14.4,1
1001646,1001636,14.2,1
1001644,1001636,14.5,2
1001642,1001636,14.5,1
1001404,385856,14.2,5
1001338,396002,14.5,1
1001336,396002,14.4,1
1001334,396002,14.3,1
1001333,396002,14.2,1
1001329,396002,14.1,1
1001262,1001248,14.5,1
1001261,1001248,14.4,1
1001260,1001248,14.4,2
1001259,1001248,14.3,2
1001254,1001248,14.3,1
1001253,1001248,14.1,5
1001252,1001248,14.2,1
1001251,1001248,14.1,2
1001247,1001248,14.2,1
1001058,297335,14.1,3
1001057,297335,14.2,5
1001056,396437,14.3,3
1001051,1000847,14.3,1
1001050,1000847,14.2,2
1001049,1000847,14.2,2
1001047,1000847,14.3,1
1001042,396437,14.3,5
1001041,396437,14.5,3
1001040,396437,14.4,5
1001039,396437,14.2,5
1001038,396437,14.1,5
1001036,396415,14.5,3
1001035,396415,14.4,5
1001034,396415,14.3,5
1001033,396415,14.2,5
1001032,396415,14.1,5
1001028,293338,14.3,5
1001026,293338,14.2,2
1000853,293338,14.2,5
1000852,293338,14.2,2
1000799,379221,14.5,1
1000798,379221,14.5,1
1000797,379221,14.5,1
1000796,379221,14.5,1
1000795,379221,14.5,1
1000794,379221,14.5,1
1000784,379221,14.2,1
1000783,379221,14.5,1
1000768,379221,14.1,1
1000767,379221,14.5,1
1000766,379221,14.5,1
1000765,379221,14.5,1
1000764,379221,14.5,1
1000763,379221,14.5,1
1000762,379221,14.5,1
1000761,379221,14.5,1
1000760,379221,14.5,1
1000759,379221,14.5,1
1000758,379221,14.5,1
1000757,379221,14.5,1
1000756,379221,14.5,1
1000755,379221,14.1,1
1000754,379221,14.5,1
1000753,379221,14.4,1
1000752,379221,14.5,1
1000751,379221,14.2,1
1000750,379221,14.3,1
1000642,396002,14.5,1
1000325,395871,14.4,1
1000324,395871,14.3,1
1000323,395871,14.2,1
1000322,395871,14.1,1
1000321,395871,14.4,1
1000320,395871,14.3,1
1000319,395871,14.2,1
1000316,396308,14.4,1
1000315,396308,14.3,1
1000313,396308,14.2,1
1000312,396308,14.1,1
1000309,396308,14.4,1
1000308,396308,14.3,1
1000307,396308,14.2,1
1000286,395871,14.5,1
1000285,395871,14.4,1
1000284,395871,14.3,1
1000283,395871,14.2,1
1000282,395871,14.1,1
1000268,396308,14.5,1
1000267,396308,14.4,1
1000266,396308,14.3,1
1000265,396308,14.2,1
1000264,396308,14.1,1
1000262,396308,14.4,1
1000261,396308,14.5,1
1000260,396308,14.3,1
1000258,396308,14.2,1
1000257,396308,14.1,3
1000249,1000204,14.5,1
1000248,1000204,14.4,5
1000247,1000204,14.3,5
1000246,1000204,14.2,5
1000245,1000204,14.1,5
1000244,1000204,14.5,3
1000243,1000204,14.4,5
1000242,1000204,14.3,5
1000241,1000204,14.2,5
1000240,1000204,14.1,2
1000239,1000204,14.5,2
1000238,1000204,14.4,5
1000237,1000204,14.3,5
1000236,1000204,14.2,5
1000235,1000204,14.1,5
1000234,1000204,14.5,1
1000233,1000204,14.4,1
1000232,1000204,14.3,1
1000231,1000204,14.2,1
1000230,1000204,14.1,1
1000229,1000204,14.1,2
1000228,1000204,14.5,1
1000227,1000204,14.4,1
1000226,1000204,14.3,1
1000225,1000204,14.2,1
1000224,1000204,14.1,1
1000223,1000204,14.5,2
1000222,1000204,14.4,2
1000221,1000204,14.3,2
1000220,1000204,14.2,2
1000219,1000204,14.1,3
1000158,396819,14.5,1
1000157,396819,14.4,3
1000156,396819,14.3,3
1000155,396819,14.2,3
1000154,396819,14.1,3
1000153,396819,14.5,1
1000152,396819,14.3,1
1000151,396819,14.1,1
1000150,396819,14.5,3
1000149,396819,14.4,5
1000148,396819,14.3,5
1000147,396819,14.2,5
1000146,396819,14.1,5
1000145,396819,14.5,1
1000144,396819,14.4,2
1000143,396819,14.3,2
1000142,396819,14.2,2
1000141,396819,14.1,2
1000140,396819,14.5,3
1000139,396819,14.4,3
1000138,396819,14.3,3
1000137,396819,14.2,3
1000136,396819,14.1,3
1000135,396819,14.5,3
1000134,396819,14.4,3
1000133,396819,14.3,3
1000132,396819,14.2,3
1000131,396819,14.1,3
1000130,396819,14.5,2
1000129,396819,14.4,2
1000128,396819,14.3,2
1000127,396819,14.2,2
1000126,396819,14.1,2
1000125,396819,14.5,2
1000124,396819,14.4,2
1000123,396819,14.3,2
1000122,396819,14.2,2
1000121,396819,14.1,2
1000120,396819,14.5,2
1000119,396819,14.4,2
1000118,396819,14.3,2
1000117,396819,14.2,2
1000116,396819,14.1,2
1000115,396819,14.5,1
1000114,396819,14.4,1
1000113,396819,14.3,1
1000112,396819,14.2,1
1000111,396819,14.1,1
1000110,396819,14.5,1
1000109,396819,14.4,1
1000108,396819,14.3,1
1000107,396819,14.2,1
1000106,396819,14.1,1
1000105,396819,14.5,1
1000104,396819,14.4,1
1000103,396819,14.3,1
1000102,396819,14.2,1
1000101,396819,14.1,1
1000100,396819,14.5,2
1000099,396819,14.4,2
1000098,396819,14.3,2
1000097,396819,14.2,2
1000096,396819,14.1,2
1000095,396819,14.5,1
1000094,396819,14.4,1
1000093,396819,14.3,1
1000092,396819,14.2,1
1000091,396819,14.1,1
1000090,396819,14.5,2
1000089,396819,14.4,5
1000088,396819,14.3,5
1000087,396819,14.2,2
1000086,396819,14.1,5
1000084,396819,14.5,3
1000083,396819,14.4,5
1000082,396819,14.3,5
1000081,396819,14.2,5
1000080,396819,14.1,5
1000079,396819,14.5,1
1000078,396819,14.4,1
1000077,396819,14.3,1
1000076,396819,14.2,1
1000075,396819,14.1,1
1000064,395871,14.5,1
1000063,395871,14.3,1
1000061,395871,14.5,1
1000060,395871,14.4,1
1000059,395871,14.3,1
1000057,395871,14.2,1
1000056,395871,14.1,1
1000044,396002,14.5,1
1000041,396002,14.4,1
1000039,396002,14.2,1
1000038,396002,14.1,1
396916,395871,14.5,2
396915,395871,14.4,2
396914,395871,14.3,2
396913,395871,14.2,2
396912,395871,14.1,2
396909,396308,14.5,2
396908,396308,14.4,2
396907,396308,14.3,2
396906,396308,14.2,2
396905,396308,14.1,2
396840,396835,14.3,3
396839,396835,14.1,2
396838,396835,14.2,5
396799,396770,14.1,1
396640,395373,14.5,1
396639,395373,14.4,1
396638,395373,14.3,1
396636,395373,14.2,1
396635,395373,14.1,1
396516,396508,14.4,1
396512,396508,14.2,1
396511,396508,14.2,1
396509,396508,14.1,1
396506,396492,14.1,1
396505,396492,14.1,2
396496,396492,14.1,1
396382,396308,14.5,1
396381,396308,14.4,2
396380,396308,14.3,2
396379,396308,14.2,2
396378,396308,14.1,2
396377,395871,14.5,1
396375,395871,14.4,2
396373,395871,14.3,2
396372,395871,14.2,3
396370,395871,14.1,2
396365,396308,14.5,2
396364,396308,14.4,2
396363,396308,14.3,2
396362,396308,14.2,2
396361,396308,14.1,2
396334,396308,14.5,1
396333,396308,14.4,1
396332,396308,14.3,1
396331,396308,14.2,1
396330,396308,14.1,1
396329,396308,14.5,1
396328,396308,14.4,1
396327,396308,14.3,1
396326,396308,14.2,1
396325,396308,14.1,1
396305,396272,14.5,1
396304,396272,14.4,1
396302,396272,14.2,1
396301,396272,14.1,1
396278,396272,14.5,1
396277,396272,14.4,1
396276,396272,14.3,1
396275,396272,14.2,1
396274,396272,14.1,1
396262,396002,14.4,1
396261,396002,14.3,1
396260,396002,14.2,1
396253,396248,14.5,2
396252,396248,14.4,2
396251,396248,14.3,2
396250,396248,14.2,2
396249,396248,14.1,2
396242,395871,14.5,1
396241,395871,14.4,1
396240,395871,14.3,1
396239,395871,14.2,1
396238,395871,14.1,1
396235,395871,14.3,1
396234,395871,14.2,1
396233,395871,14.1,1
396232,395871,14.5,3
396231,395871,14.4,3
396230,395871,14.3,5
396229,395871,14.2,5
396228,395871,14.1,5
396227,395871,14.5,2
396226,395871,14.4,2
396225,395871,14.3,1
396224,395871,14.2,2
396223,395871,14.1,3
396212,395871,14.5,1
396211,395871,14.4,3
396210,395871,14.3,1
396209,395871,14.2,3
396208,395871,14.1,3
396207,395871,14.5,1
396206,395871,14.4,1
396205,395871,14.3,1
396204,395871,14.2,1
396203,395871,14.1,1
396202,395871,14.5,1
396201,395871,14.4,1
396200,395871,14.3,1
396199,395871,14.2,2
396198,395871,14.1,2
396197,395871,14.5,1
396196,395871,14.4,1
396195,395871,14.3,1
396194,395871,14.2,2
396193,395871,14.1,2
396008,396002,14.5,1
396007,396002,14.4,1
396006,396002,14.3,1
396005,396002,14.2,1
396004,396002,14.1,1
395926,395855,14.5,1
395918,395855,14.4,1
395917,395855,14.4,1
395916,395855,14.4,1
395866,395855,14.3,1
395865,395855,14.3,1
395864,395855,14.2,1
395860,395855,14.2,1
395846,395835,14.5,2
395843,395835,14.5,1
395839,395835,14.4,1
395837,395835,14.2,1
395771,353134,14.3,5
395770,353134,14.3,3
395769,353345,14.1,3
395768,353345,14.1,2
395727,353256,14.4,5
395726,353256,14.4,3
395425,392530,14.3,3
395424,392530,14.3,2
395423,392530,14.4,3
395422,392530,14.5,3
395421,392530,14.5,1
395418,392530,14.2,3
395417,392530,14.2,3
395416,392530,14.2,1
395414,392530,14.5,2
395412,392530,14.4,3
395411,392530,14.4,2
395410,392530,14.2,3
395407,392530,14.3,5
395388,395373,14.5,2
395387,395373,14.3,2
395386,395373,14.1,2
395385,395373,14.5,1
395384,395373,14.4,1
395383,395373,14.3,1
395382,395373,14.2,1
395381,395373,14.1,1
395380,395373,14.5,2
395379,395373,14.4,2
395378,395373,14.3,2
395377,395373,14.2,2
395376,395373,14.1,2
395197,395174,14.5,1
395196,395174,14.4,1
395195,395174,14.3,1
395193,395174,14.1,1
395191,395174,14.5,5
395190,395174,14.4,5
395189,395174,14.3,5
395188,395174,14.2,5
395187,395174,14.1,5
395185,395174,14.5,1
395184,395174,14.4,1
395183,395174,14.3,1
395181,395174,14.1,1
395179,395174,14.5,1
395178,395174,14.4,1
395177,395174,14.3,1
395176,395174,14.2,1
395175,395174,14.1,1
394979,383958,14.2,2
394978,383958,14.1,2
394971,396492,14.1,1
393891,393793,14.3,2
393799,393793,14.3,2
393260,381608,14.1,1
392767,392743,14.3,1
392561,1004171,14.3,1
392557,1004171,14.3,1
392556,1004171,14.3,1
392555,1004171,14.2,2
392554,1004171,14.2,2
392553,1004171,14.2,3
392552,1004171,14.2,2
392551,1004171,14.3,1
392550,1004171,14.3,2
392549,1004171,14.3,3
392546,1004171,14.3,2
392526,257560,14.2,2
392524,257560,14.4,1
392523,257560,14.3,2
392521,257560,14.2,3
392467,384036,14.2,3
392391,396415,14.3,3
392379,384036,14.1,2
392303,354680,14.1,3
392302,354680,14.1,5
392157,385442,14.3,3
392151,257560,14.4,2
392150,257560,14.2,2
392149,257560,14.1,1
392132,385442,14.2,5
392075,388076,14.3,2
392038,387276,14.2,8
392037,387276,14.1,8
392032,387276,14.2,2
392026,387276,14.1,3
391932,385856,14.1,1
391812,368860,14.4,3
391772,297335,14.2,3
391721,384036,14.1,2
391720,384036,14.3,5
391719,384036,14.2,2
391709,384036,14.3,2
391705,384036,14.3,3
391703,384036,14.1,3
391679,384036,14.4,3
391678,384036,14.1,1
391563,377437,14.4,3
391536,385856,14.2,1
391520,385856,14.3,8
391519,385856,14.2,2
391518,385856,14.3,2
391517,385856,14.2,2
391512,384136,14.1,5
391509,384036,14.2,1
391507,384036,14.3,2
391465,384036,14.2,5
391459,354680,14.2,2
391458,354680,14.2,1
391457,354680,14.2,3
391456,384036,14.2,1
391455,354680,14.2,1
391353,384036,14.2,3
391338,384036,14.3,5
391273,384036,14.2,8
391233,386935,14.2,1
391224,386935,14.4,2
391183,392743,14.3,3
390895,354680,14.2,1
390401,387276,14.1,2
390400,387276,14.1,1
390398,387276,14.2,2
390317,297335,14.5,2
390316,297335,14.4,2
390299,385856,14.4,2
390238,384136,14.2,2
390237,384136,14.4,2
390232,384136,14.2,5
390119,384136,14.3,5
390060,318430,14.2,3
389887,384136,14.4,2
389886,384136,14.4,3
389884,384136,14.3,3
389882,384136,14.3,3
389813,384136,14.1,5
389796,384136,14.4,5
389794,384136,14.4,3
389788,384136,14.4,3
389745,387276,14.3,2
389681,387276,14.3,8
389654,385856,14.4,2
389647,385856,14.3,5
389452,354680,14.2,2
389451,354680,14.1,2
389288,377408,14.2,5
389252,383165,14.1,3
389249,383165,14.1,3
389247,383165,14.1,2
388555,388549,14.1,8
388554,388549,14.1,5
388553,388549,14.1,8
388548,354174,14.2,1
388534,385856,14.2,5
388478,383165,14.4,5
388473,383165,14.5,1
388471,383165,14.4,1
388158,388053,14.2,5
388157,388053,14.1,5
388156,388053,14.1,3
388155,388053,14.4,5
388026,388004,14.2,3
388021,388004,14.1,5
387884,390441,14.4,5
387883,390441,14.3,5
387371,384136,14.1,5
387278,387276,14.4,8
387277,387276,14.5,2
387236,384136,14.1,3
386950,386935,14.3,5
386949,386935,14.4,1
386948,386935,14.4,1
386946,386935,14.4,2
386943,386935,14.2,1
386942,386935,14.3,2
386941,386935,14.2,2
386940,386935,14.2,5
386939,386935,14.3,2
386938,386935,14.2,3
385905,354680,14.3,2
385901,354680,14.5,5
385900,354680,14.1,1
385899,354680,14.4,1
385890,385856,14.2,3
385888,385856,14.1,5
385887,385856,14.2,2
385886,385856,14.1,5
385883,385856,14.1,1
385881,385856,14.2,3
385880,385856,14.3,5
385877,385856,14.1,5
385874,385856,14.1,2
385869,385856,14.1,8
385643,384084,14.3,5
385641,384036,14.1,3
385603,376446,14.3,3
385602,376446,14.4,1
385600,376446,14.2,2
385599,376446,14.1,5
385455,257560,14.2,2
385454,257560,14.2,5
385453,257560,14.1,3
385452,257560,14.1,1
385447,384084,14.1,5
385444,385442,14.4,2
384597,297335,14.4,3
384596,297335,14.5,5
384240,384084,14.2,1
384147,384136,14.2,5
384144,384136,14.1,5
384141,384136,14.3,5
384138,384136,14.3,2
384098,384084,14.4,1
384097,384084,14.4,2
384095,384084,14.3,3
384094,384084,14.3,2
384092,384084,14.2,1
384089,384084,14.1,3
384088,384084,14.4,1
384087,384084,14.2,3
384086,384084,14.4,3
384071,384036,14.2,5
384069,384036,14.2,2
384067,384036,14.4,1
383966,383958,14.3,3
383075,381524,14.3,2
383074,381524,14.2,3
382838,396663,14.5,2
382837,396663,14.5,1
382836,396663,14.4,1
382835,396663,14.3,1
382833,396663,14.1,1
382693,354680,14.1,1
382275,354174,14.1,5
381984,373090,14.4,1
379766,379761,14.4,1
379765,379761,14.3,5
379764,379761,14.1,2
379762,379761,14.2,1
378009,378000,14.1,1
378002,378000,14.1,1
377718,243502,14.2,1
377438,377437,14.5,5
377415,377408,14.4,1
377413,377408,14.1,3
377412,377408,14.2,3
377411,377408,14.3,3
376472,318430,14.1,3
376457,373090,14.2,1
376456,373090,14.3,1
376334,382895,14.4,2
376333,382895,14.3,2
376331,382895,14.4,2
376330,382895,14.4,2
375701,373090,14.2,2
375324,382895,14.4,2
375203,297335,14.3,3
374909,297335,14.1,3
372930,373090,14.4,1
372929,373090,14.4,1
371236,382895,14.4,1
367622,373090,14.2,1
363347,243502,14.1,1
355507,355229,14.5,3
355497,355229,14.4,8
355495,355229,14.3,8
355485,355228,14.5,1
355475,355228,14.2,5
355474,355228,14.3,5
355469,355228,14.5,3
355467,355228,14.4,5
354939,354871,14.1,1
354910,354680,14.3,2
354909,354680,14.3,2
354830,354680,14.1,5
354763,352931,14.5,3
354762,352931,14.4,5
354761,352931,14.2,3
354733,354680,14.1,1
354689,354680,14.4,1
354687,354680,14.3,2
354686,354680,14.1,5
354685,354680,14.4,2
354683,354680,14.2,2
354682,354680,14.5,2
354681,354680,14.1,3
354666,352931,14.4,2
354558,354680,14.2,2
354412,354372,14.4,3
354395,354372,14.5,2
354193,354174,14.1,2
354182,354174,14.3,8
354181,354174,14.3,2
354179,354174,14.4,1
354176,354174,14.4,1
353380,353345,14.1,1
353350,353345,14.2,1
353349,353345,14.1,3
353348,353345,14.1,2
353347,353345,14.1,1
353262,353256,14.5,1
353261,353256,14.4,3
353259,353256,14.4,2
353255,353134,14.2,3
353254,353134,14.4,1
353253,353134,14.3,5
353185,353134,14.3,3
353136,353134,14.2,1
352414,279283,14.2,3
352413,279283,14.1,3
352412,279283,14.1,3
352411,279283,14.4,3
352410,279283,14.3,3
352409,279283,14.2,3
352408,279283,14.3,3
352407,279283,14.2,3
352406,279283,14.1,3
352403,279283,14.2,3
352347,279283,14.1,3
344115,297335,14.4,2
343918,243502,14.2,1
343917,243502,14.2,1
343914,243502,14.1,1
343885,243502,14.1,1
342873,293338,14.3,5
342862,293338,14.2,3
342802,293338,14.2,8
342560,293338,14.4,5
342026,342018,14.1,1
334396,297335,14.3,5
328589,395871,14.1,1
318462,1011279,14.4,2
318439,318430,14.1,2
318432,318430,14.1,3
318420,1011279,14.3,3
318389,318380,14.1,1
305904,297335,14.3,1
293610,279283,14.5,5
290268,257560,14.3,2
284314,297335,14.3,3
